id,sourceId,seasonLabel,season,seasonType,tournament,startDate,startTimeTbd,neutralSite,conferenceGame,gameType,status,gameNotes,attendance,homeTeamId,homeTeam,homeConferenceId,homeConference,homeSeed,homePoints,homePeriodPoints,homeWinner,homeTeamEloStart,homeTeamEloEnd,awayTeamId,awayTeam,awayConferenceId,awayConference,awaySeed,awayPoints,awayPeriodPoints,awayWinner,awayTeamEloStart,awayTeamEloEnd,excitement,venueId,venue,city,state
65917,400499219,20132014,2014,regular,,2013-11-08T23:00:00.000Z,False,False,False,STD,final,,2236.0,204,North Texas,13.0,CUSA,,72,"[35, 37]",True,1494.0,1494.0,1361,Northwood University,,,,67,"[33, 34]",False,1500.0,1500.0,12.7,200,The Super Pit,Denton,TX
65902,400496834,20132014,2014,regular,,2013-11-08T23:30:00.000Z,False,True,False,STD,final,,12687.0,160,Maryland,2.0,ACC,,77,"[36, 41]",False,1652.0,1650.0,314,UConn,5.0,American,,78,"[48, 30]",True,1618.0,1621.0,24.2,385,Barclays Center,Brooklyn,NY
65942,400498435,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,1934.0,41,Campbell,9.0,Big South,,87,"[48, 39]",True,1480.0,1557.0,1068,Shenandoah,,,,62,"[33, 29]",False,1388.0,1311.0,14.1,100,John W. Pope Jr. Convocation Center,Buies Creek,NC
65940,400498439,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,10250.0,359,Xavier,7.0,Big East,,83,"[41, 42]",True,1610.0,1697.0,94,Gardner-Webb,9.0,Big South,,59,"[22, 37]",False,1594.0,1507.0,,106,Cintas Center,Cincinnati,OH
65928,400499752,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,17472.0,121,Indiana,10.0,Big Ten,,100,"[47, 53]",True,1725.0,1799.0,50,Chicago State,30.0,WAC,,72,"[28, 44]",False,1537.0,1464.0,1.6,212,Simon Skjodt Assembly Hall,Bloomington,IN
65929,400499522,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,6602.0,95,George Mason,1.0,A-10,,63,"[38, 25]",True,1552.0,1542.0,8,American University,23.0,Patriot,,60,"[37, 23]",False,1490.0,1501.0,14.2,77,EagleBank Arena,Fairfax,VA
65930,400499518,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,7402.0,342,Wake Forest,2.0,ACC,,89,"[38, 51]",True,1556.0,1566.0,55,Colgate,23.0,Patriot,,78,"[40, 38]",False,1476.0,1466.0,,153,LJVM Coliseum,Winston-Salem,NC
65931,400499220,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,6780.0,219,Old Dominion,13.0,CUSA,,67,"[28, 35, 4]",False,1484.0,1421.0,176,Missouri State,19.0,MVC,,79,"[30, 33, 16]",True,1527.0,1590.0,2.0,68,Chartway Arena,Norfolk,VA
65932,400499218,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,5067.0,158,Marshall,13.0,CUSA,,85,"[44, 41]",True,1526.0,1555.0,267,South Carolina State,18.0,MEAC,,69,"[30, 39]",False,1419.0,1390.0,27.2,49,Cam Henderson Center,Huntington,WV
65933,400499216,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,1213.0,86,Florida Atlantic,13.0,CUSA,,86,"[44, 42]",True,1521.0,1650.0,872,Ave Maria,,,,51,"[23, 28]",False,1446.0,1317.0,13.1,276,Eleanor R. Baldwin Arena,Boca Raton,FL
65934,400499021,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,5200.0,52,Clemson,2.0,ACC,,71,"[46, 25]",True,1560.0,1623.0,283,Stetson,3.0,ASUN,,51,"[15, 36]",False,1521.0,1458.0,12.5,91,Littlejohn Coliseum,Clemson,SC
65935,400499020,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,13033.0,236,Purdue,10.0,Big Ten,,77,"[35, 42]",True,1638.0,1628.0,210,Northern Kentucky,3.0,ASUN,,76,"[35, 41]",False,1521.0,1530.0,15.3,11,Mackey Arena,West Lafayette,IN
65938,400498442,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,2531.0,96,George Washington,1.0,A-10,,76,"[36, 40]",True,1569.0,1631.0,239,Radford,9.0,Big South,,54,"[26, 28]",False,1473.0,1411.0,1.0,136,Charles E. Smith Center,Washington,DC
65939,400498440,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,22413.0,135,Kentucky,24.0,SEC,,89,"[41, 48]",True,1617.0,1732.0,319,UNC Asheville,9.0,Big South,,57,"[31, 26]",False,1547.0,1431.0,21.7,17,Rupp Arena,Lexington,KY
65941,400498436,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,5734.0,320,UNC Greensboro,26.0,SoCon,,82,"[33, 49]",True,1519.0,1538.0,109,High Point,9.0,Big South,,74,"[32, 42]",False,1582.0,1563.0,0.9,57,First Horizon Coliseum,Greensboro,NC
65926,400502487,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,11311.0,264,Siena,16.0,MAAC,,62,"[37, 25]",False,1429.0,1384.0,306,UAlbany,4.0,Am. East,,74,"[31, 43]",True,1572.0,1618.0,,71,MVP Arena,Albany,NY
65925,400502659,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,TRNMNT,final,GLOBAL SPORTS SHOOTOUT,13164.0,185,NC State,2.0,ACC,,98,"[43, 55]",True,1673.0,1720.0,9,App State,26.0,SoCon,,77,"[38, 39]",False,1524.0,1477.0,,74,Lenovo Center,Raleigh,NC
65924,400502664,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,9235.0,229,Pittsburgh,2.0,ACC,,88,"[40, 48]",True,1676.0,1784.0,380,Savannah State,18.0,MEAC,,55,"[13, 42]",False,1541.0,1433.0,,79,Petersen Events Center,Pittsburgh,PA
65923,400504208,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,6721.0,242,Richmond,1.0,A-10,,71,"[32, 39]",True,1608.0,1597.0,66,Delaware,12.0,CAA,,69,"[31, 38]",False,1521.0,1532.0,12.7,224,Robins Center,Richmond,VA
65922,400504209,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,4824.0,106,Hampton,18.0,MEAC,,77,"[38, 39]",True,1497.0,1510.0,353,William & Mary,12.0,CAA,,69,"[33, 36]",False,1521.0,1508.0,,52,Convocation Center (VA),Hampton,VA
65918,400508183,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,1389.0,198,North Carolina A&T,18.0,MEAC,,91,"[40, 51]",True,1556.0,1636.0,954,Greensboro College,,,,64,"[31, 33]",False,1430.0,1349.0,,41,Corbett Sports Center,Greensboro,NC
65927,400502485,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,2063.0,110,Hofstra,12.0,CAA,,84,"[45, 39]",False,1443.0,1415.0,178,Monmouth,16.0,MAAC,,88,"[36, 52]",True,1405.0,1433.0,,27,David S. Mack Sports and Exhibition Complex,Hempstead,NY
65904,400502663,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,7783.0,213,Notre Dame,2.0,ACC,,74,"[39, 35]",True,1653.0,1655.0,167,Miami (OH),17.0,MAC,,62,"[32, 30]",False,1495.0,1493.0,7.8,225,Purcell Pavilion,South Bend,IN
65903,400504457,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,True,False,STD,final,,3523.0,355,Wisconsin,10.0,Big Ten,,86,"[35, 51]",True,1697.0,1719.0,279,St. John's,7.0,Big East,,75,"[23, 52]",False,1568.0,1545.0,,679,The Pentagon,Sioux Falls,SD
65900,400499955,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,7741.0,333,VCU,1.0,A-10,,96,"[52, 44]",True,1704.0,1847.0,119,Illinois State,19.0,MVC,,58,"[22, 36]",False,1631.0,1487.0,,92,Siegel Center,Richmond,VA
65919,400508059,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,1582.0,348,Western Carolina,26.0,SoCon,,77,"[45, 32]",True,1523.0,1599.0,910,Wittenberg,,,,55,"[25, 30]",False,1500.0,1424.0,,98,Ramsey Center,Cullowhee,NC
65920,400507740,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,2240.0,134,Kent State,17.0,MAC,,84,"[41, 43]",True,1602.0,1730.0,1199,Ohio Northern,,,,48,"[20, 28]",False,1500.0,1372.0,18.8,277,M.A.C. Center,Kent,OH
65921,400507263,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,1875.0,114,Howard,18.0,MEAC,,69,"[32, 37]",True,1424.0,1493.0,500,Washington College (MD),,,,52,"[25, 27]",False,1493.0,1424.0,,325,Burr Gymnasium,Washington,DC
65893,400503854,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,14797.0,169,Michigan State,10.0,Big Ten,,98,"[52, 46]",True,1732.0,1858.0,162,McNeese,27.0,Southland,,56,"[25, 31]",False,1468.0,1342.0,,63,Breslin Center,East Lansing,MI
65894,400502661,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,9314.0,72,Duke,2.0,ACC,,111,"[59, 52]",True,1733.0,1864.0,63,Davidson,26.0,SoCon,,77,"[39, 38]",False,1693.0,1562.0,15.5,6,Cameron Indoor Stadium,Durham,NC
65896,400509954,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,12707.0,170,Michigan,10.0,Big Ten,,69,"[23, 46]",True,1766.0,1820.0,318,UMass Lowell,4.0,Am. East,,42,"[23, 19]",False,1500.0,1446.0,,148,Crisler Center,Ann Arbor,MI
65897,400502660,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,24788.0,286,Syracuse,2.0,ACC,,82,"[32, 50]",True,1742.0,1773.0,60,Cornell,15.0,Ivy,,60,"[38, 22]",False,1486.0,1455.0,19.3,88,JMA Wireless Dome,Syracuse,NY
65906,400502662,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,11934.0,339,Virginia,2.0,ACC,,61,"[32, 29]",True,1648.0,1701.0,129,James Madison,12.0,CAA,,41,"[14, 27]",False,1556.0,1503.0,,227,John Paul Jones Arena,Charlottesville,VA
65937,400498694,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,1200.0,84,Fairleigh Dickinson,21.0,NEC,,89,"[45, 44]",True,1324.0,1419.0,1201,Caldwell,,,,71,"[30, 41]",False,1500.0,1405.0,20.5,253,Bogota Savings Bank Center,Hackensack,NJ
65936,400499018,20132014,2014,regular,,2013-11-09T00:00:00.000Z,False,False,False,STD,final,,4982.0,143,Lipscomb,3.0,ASUN,,83,"[32, 51]",False,1456.0,1455.0,22,Belmont,22.0,OVC,,87,"[35, 52]",True,1673.0,1674.0,,305,Allen Arena,Nashville,TN
65946,400506307,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,5592.0,98,Georgia,24.0,SEC,,72,"[39, 33]",True,1602.0,1654.0,356,Wofford,26.0,SoCon,,52,"[20, 32]",False,1503.0,1451.0,10.2,110,Stegeman Coliseum,Athens,GA
65945,400508055,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,1607.0,81,Elon,26.0,SoCon,,114,"[57, 57]",True,1560.0,1759.0,838,Washington and Lee,,,,64,"[32, 32]",False,1475.0,1277.0,,588,Alumni Gym (Elon University),Elon,NC
65950,400499519,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,4262.0,301,Towson,12.0,CAA,,72,"[39, 33]",True,1558.0,1640.0,187,Navy,23.0,Patriot,,45,"[23, 22]",False,1441.0,1359.0,17.8,680,Towson Center,Towson,MD
65944,400508056,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,1272.0,93,Furman,26.0,SoCon,,66,"[25, 41]",True,1386.0,1454.0,1224,Sewanee,,,,49,"[21, 28]",False,1449.0,1382.0,,379,Timmons Arena,Greenville,SC
65954,400496839,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,True,False,TRNMNT,final,TIP-OFF SHOWCASE,0.0,248,SMU,5.0,American,,69,"[30, 39]",True,1561.0,1579.0,287,TCU,6.0,Big 12,,61,"[29, 32]",False,1493.0,1474.0,,292,American Airlines Center,Dallas,TX
65943,400508057,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,1211.0,99,Georgia Southern,26.0,SoCon,,110,"[61, 49]",True,1500.0,1648.0,517,Columbia International,,,,74,"[35, 39]",False,1500.0,1352.0,,67,Hanner Fieldhouse,Statesboro,GA
65955,400496836,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,5083.0,245,Rutgers,5.0,American,,92,"[46, 46]",True,1592.0,1584.0,85,Florida A&M,18.0,MEAC,,84,"[41, 43]",False,1462.0,1470.0,18.5,213,Jersey Mike’s Arena,Piscataway,NJ
65953,400498441,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,6798.0,101,Georgia Tech,2.0,ACC,,88,"[42, 46]",True,1557.0,1664.0,233,Presbyterian,9.0,Big South,,57,"[32, 25]",False,1470.0,1363.0,,228,McCamish Pavilion,Atlanta,GA
65951,400499017,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,TRNMNT,final,KENNESAW STATE TOURNAMENT,1412.0,133,Kennesaw State,3.0,ASUN,,57,"[21, 36]",False,1412.0,1341.0,361,Youngstown State,14.0,Horizon,,73,"[34, 39]",True,1535.0,1606.0,21.7,199,KSU Convocation Center,Kennesaw,GA
65952,400499015,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,4796.0,48,Charlotte,13.0,CUSA,,80,"[34, 46]",True,1536.0,1521.0,75,East Tennessee State,3.0,ASUN,,75,"[31, 44]",False,1405.0,1420.0,15.5,134,Halton Arena,Charlotte,NC
65949,400499753,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,True,False,TRNMNT,final,USD CLASSIC,0.0,153,Loyola Marymount,31.0,WCC,,78,"[41, 37]",True,1534.0,1537.0,104,Grand Canyon,30.0,WAC,,75,"[29, 46]",False,1493.0,1490.0,,239,Jenny Craig Pavilion,San Diego,CA
65948,400505483,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,4262.0,57,Colorado State,20.0,Mountain West,,99,"[46, 53]",True,1682.0,1761.0,763,Colorado-Colorado Springs,,,,70,"[39, 31]",False,1497.0,1418.0,,178,Moby Arena,Fort Collins,CO
65947,400506207,20132014,2014,regular,,2013-11-09T00:30:00.000Z,False,False,False,STD,final,,5410.0,240,Rhode Island,1.0,A-10,,97,"[52, 45]",True,1486.0,1559.0,154,Maine,4.0,Am. East,,77,"[35, 42]",False,1493.0,1421.0,,135,Thomas M. Ryan Center,Kingston,RI
65898,400498235,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,9402.0,218,Oklahoma State,6.0,Big 12,,117,"[63, 54]",True,1661.0,1849.0,175,Mississippi Valley State,25.0,SWAC,,62,"[29, 33]",False,1396.0,1208.0,18.8,175,Gallagher-Iba Arena,Stillwater,OK
65901,400504456,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,14269.0,157,Marquette,7.0,Big East,,63,"[38, 25]",True,1675.0,1668.0,274,Southern,25.0,SWAC,,56,"[32, 24]",False,1573.0,1581.0,18.3,615,BMO Harris Bradley Center,Milwaukee,WI
65895,400498234,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,16300.0,131,Kansas,6.0,Big 12,,80,"[42, 38]",True,1739.0,1733.0,316,UL Monroe,29.0,Sun Belt,,63,"[32, 31]",False,1404.0,1411.0,14.8,1,Allen Fieldhouse,Lawrence,KS
65957,400509955,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,TRNMNT,final,GLOBAL SPORTS INVITATIONAL,15271.0,118,Illinois,10.0,Big Ten,,80,"[40, 40]",True,1650.0,1660.0,6,Alabama State,25.0,SWAC,,63,"[26, 37]",False,1414.0,1404.0,,149,State Farm Center,Champaign,IL
65958,400508058,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,1059.0,256,Samford,26.0,SoCon,,79,"[34, 45]",True,1484.0,1534.0,1020,Tennessee Southern,,,,62,"[26, 36]",False,1461.0,1411.0,6.3,97,Pete Hanna Center,Homewood,AL
65959,400507033,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,True,False,STD,final,ARMED FORCES CLASSIC,0.0,223,Oregon,33.0,Pac-12,,82,"[37, 45]",True,1694.0,1718.0,97,Georgetown,7.0,Big East,,75,"[34, 41]",False,1698.0,1674.0,15.2,681,Humphreys Community Fitness Center,Camp Humphreys,
65972,400499956,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,2247.0,151,Loyola Chicago,19.0,MVC,,76,"[28, 48]",True,1565.0,1554.0,172,Milwaukee,14.0,Horizon,,72,"[28, 44]",False,1488.0,1498.0,,160,Gentile Arena,Chicago,IL
65970,400501547,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,2157.0,202,North Dakota State,28.0,Summit,,93,"[43, 50]",True,1642.0,1801.0,1362,Viterbo,,,,49,"[16, 33]",False,1500.0,1341.0,,683,Bison Sports Arena,Fargo,ND
65963,400504455,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,17740.0,61,Creighton,7.0,Big East,,107,"[52, 55]",True,1689.0,1831.0,7,Alcorn State,25.0,SWAC,,61,"[36, 25]",False,1411.0,1269.0,8.0,210,CHI Health Center Omaha,Omaha,NE
65962,400506093,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,5086.0,10,Arizona State,33.0,Pac-12,,96,"[45, 51]",True,1628.0,1732.0,317,UMBC,4.0,Am. East,,61,"[28, 33]",False,1421.0,1318.0,,203,Desert Financial Arena,Tempe,AZ
65961,400506308,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,6853.0,174,Mississippi State,24.0,SEC,,71,"[38, 33]",True,1477.0,1513.0,232,Prairie View A&M,25.0,SWAC,,56,"[28, 28]",False,1436.0,1400.0,,109,Humphrey Coliseum,Starkville,MS
65960,400506309,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,4969.0,293,Texas A&M,24.0,SEC,,82,"[39, 43]",True,1587.0,1673.0,33,Buffalo,17.0,MAC,,58,"[31, 27]",False,1567.0,1480.0,15.3,262,Reed Arena,College Station,TX
65969,400502486,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,1630.0,285,Stony Brook,4.0,Am. East,,71,"[37, 34]",True,1652.0,1671.0,156,Marist,16.0,MAAC,,55,"[30, 25]",False,1494.0,1474.0,,682,Pritchard Gymnasium,Stony Brook,NY
65968,400503056,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,2105.0,17,Austin Peay,22.0,OVC,,84,"[40, 44]",True,1482.0,1510.0,855,Oakland City,,,,69,"[38, 31]",False,1395.0,1368.0,10.4,637,Dave Aaron Arena,Clarksville,TN
65967,400503058,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,12068.0,12,Arkansas,24.0,SEC,,99,"[56, 43]",True,1614.0,1724.0,247,SIU Edwardsville,22.0,OVC,,65,"[27, 38]",False,1469.0,1359.0,19.1,211,Bud Walton Arena,Fayetteville,AR
65966,400503855,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,2210.0,282,Stephen F. Austin,27.0,Southland,,90,"[48, 42]",True,1647.0,1703.0,875,UT Tyler,,,,64,"[32, 32]",False,1416.0,1360.0,,154,William R. Johnson Coliseum,Nacogdoches,TX
65965,400503856,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,4196.0,16,Auburn,24.0,SEC,,76,"[37, 39]",True,1507.0,1585.0,195,Nicholls,27.0,Southland,,54,"[29, 25]",False,1493.0,1415.0,,209,Neville Arena,Auburn,AL
65964,400503857,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,7929.0,177,Missouri,24.0,SEC,,89,"[44, 45]",True,1703.0,1815.0,246,SE Louisiana,27.0,Southland,,53,"[19, 34]",False,1516.0,1404.0,14.8,286,Mizzou Arena,Columbia,MO
65956,400514336,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,7768.0,331,Utah,33.0,Pac-12,,128,"[59, 69]",True,1572.0,1933.0,605,Evergreen State,,,,44,"[20, 24]",False,1487.0,1125.0,,173,Jon M. Huntsman Center,Salt Lake City,UT
65971,400501546,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,1060.0,208,Northern Illinois,17.0,MAC,,66,"[39, 27]",False,1409.0,1398.0,221,Omaha,28.0,Summit,,68,"[28, 40]",True,1443.0,1453.0,,255,NIU Convocation Center,Dekalb,IL
65987,400496838,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,TRNMNT,final,GLOBAL SPORTS SHOOTOUT,6532.0,51,Cincinnati,5.0,American,,74,"[40, 34]",True,1643.0,1665.0,199,North Carolina Central,18.0,MEAC,,61,"[26, 35]",False,1578.0,1556.0,,14,Fifth Third Arena,Cincinnati,OH
65986,400498236,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,5295.0,298,Texas Tech,6.0,Big 12,,76,"[33, 43]",True,1483.0,1527.0,112,Houston Christian,27.0,Southland,,61,"[25, 36]",False,1490.0,1445.0,,201,United Supermarkets Arena,Lubbock,TX
65985,400498239,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,8108.0,295,Texas,6.0,Big 12,,76,"[39, 37]",True,1582.0,1580.0,164,Mercer,3.0,ASUN,,73,"[36, 37]",False,1616.0,1618.0,4.3,525,Frank Erwin Center,Austin,TX
65984,400498240,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,8336.0,347,West Virginia,6.0,Big 12,,77,"[41, 36]",True,1568.0,1600.0,183,Mount St. Mary's,21.0,NEC,,62,"[32, 30]",False,1506.0,1474.0,5.4,87,WVU Coliseum,Morgantown,WV
65983,400498437,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,825.0,47,Charleston Southern,9.0,Big South,,130,"[77, 53]",True,1600.0,1935.0,699,Johnson University (TN),,,,51,"[29, 22]",False,1500.0,1165.0,,327,Buccaneer Fieldhouse,Charleston,SC
65982,400498438,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,7043.0,142,Liberty,9.0,Big South,,74,"[38, 36]",True,1571.0,1627.0,538,Randolph College,,,,53,"[29, 24]",False,1466.0,1410.0,,567,Vines Convocation Center,Lynchburg,VA
65981,400498443,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,4217.0,3,Akron,17.0,MAC,,72,"[41, 31]",True,1600.0,1606.0,54,Coastal Carolina,9.0,Big South,,63,"[30, 33]",False,1547.0,1541.0,,279,James A. Rhodes Arena,Akron,OH
65980,400499016,20132014,2014,regular,,2013-11-09T01:00:00.000Z,False,False,False,STD,final,,5761.0,90,Florida State,2.0,ACC,,91,"[43, 48]",True,1553.0,1628.0,127,Jacksonville,3.0,ASUN,,67,"[36, 31]",False,1474.0,1399.0,,81,Tucker Center,Tallahassee,FL
