id,sourceId,seasonLabel,season,seasonType,tournament,startDate,startTimeTbd,neutralSite,conferenceGame,gameType,status,gameNotes,attendance,homeTeamId,homeTeam,homeConferenceId,homeConference,homeSeed,homePoints,homePeriodPoints,homeWinner,homeTeamEloStart,homeTeamEloEnd,awayTeamId,awayTeam,awayConferenceId,awayConference,awaySeed,awayPoints,awayPeriodPoints,awayWinner,awayTeamEloStart,awayTeamEloEnd,excitement,venueId,venue,city,state
5901,401594209,20232024,2024,regular,,2023-11-06T16:00:00.000Z,False,False,False,STD,final,,4867,115,IU Indianapolis,14.0,Horizon,,70,"[33, 37]",True,1476.0,1476.0,831,Spalding,,,,63,"[25, 38]",False,1431.0,1431.0,2.7,19,Corteva Coliseum,Indianapolis,IN
5902,401610539,20232024,2024,regular,,2023-11-06T16:30:00.000Z,False,False,False,STD,final,,2147,110,Hofstra,12.0,CAA,,101,"[44, 57]",True,1684.0,1861.0,677,Saint Joseph's Long Island,,,,48,"[19, 29]",False,1408.0,1232.0,1.3,27,David S. Mack Sports and Exhibition Complex,Hempstead,NY
5903,401591565,20232024,2024,regular,,2023-11-06T17:00:00.000Z,False,False,False,STD,final,,3321,302,Troy,29.0,Sun Belt,,92,"[38, 54]",True,1645.0,1808.0,797,Fort Lauderdale,,,,47,"[18, 29]",False,1500.0,1337.0,1.2,65,Trojan Arena,Troy,AL
5904,401604410,20232024,2024,regular,,2023-11-06T17:30:00.000Z,False,False,False,STD,final,,3250,282,Stephen F. Austin,30.0,WAC,,96,"[54, 42]",True,1639.0,1682.0,832,North American,,,,68,"[22, 46]",False,1292.0,1249.0,0.9,154,William R. Johnson Coliseum,Nacogdoches,TX
5905,401598014,20232024,2024,regular,,2023-11-06T18:00:00.000Z,False,False,False,STD,final,,350,232,Prairie View A&M,25.0,SWAC,,89,"[43, 46]",True,1528.0,1583.0,614,Kansas Christian,,,,66,"[33, 33]",False,1372.0,1317.0,2.2,56,William Nicks Building,Prairie View,TX
5906,401581587,20232024,2024,regular,,2023-11-06T21:30:00.000Z,False,True,False,STD,final,Hall of Fame Series - Las Vegas,7595,223,Oregon,33.0,Pac-12,,82,"[40, 42]",True,1691.0,1705.0,98,Georgia,24.0,SEC,,71,"[30, 41]",False,1511.0,1497.0,2.4,13,T-Mobile Arena,Las Vegas,NV
5907,401602729,20232024,2024,regular,,2023-11-06T22:30:00.000Z,False,False,False,STD,final,,2483,224,Oregon State,33.0,Pac-12,,82,"[39, 43]",True,1516.0,1661.0,833,Linfield College,,,,46,"[22, 24]",False,1499.0,1355.0,1.4,180,Gill Coliseum,Corvallis,OR
5909,401582016,20232024,2024,regular,,2023-11-06T23:00:00.000Z,False,False,False,STD,final,,719,318,UMass Lowell,4.0,Am. East,,96,"[50, 46]",True,1668.0,1822.0,502,Rivier,,,,51,"[27, 24]",False,1475.0,1321.0,1.5,34,Costello Athletic Center,Lowell,MA
5908,401589360,20232024,2024,regular,,2023-11-06T23:00:00.000Z,False,False,False,STD,final,,636,227,Pennsylvania,15.0,Ivy,,102,"[61, 41]",True,1652.0,1795.0,671,John Jay College,,,,57,"[34, 23]",False,1401.0,1258.0,0.9,252,The Palestra,Philadelphia,PA
5885,401584359,20232024,2024,regular,,2023-11-06T23:30:00.000Z,False,False,False,STD,final,,10299,314,UConn,7.0,Big East,,95,"[47, 48]",True,1849.0,1985.0,206,Northern Arizona,8.0,Big Sky,,52,"[30, 22]",False,1614.0,1478.0,1.2,208,Gampel Pavilion,Storrs,CT
5882,401577640,20232024,2024,regular,,2023-11-06T23:30:00.000Z,False,False,False,STD,final,,14876,236,Purdue,10.0,Big Ten,,98,"[51, 47]",True,1697.0,1919.0,256,Samford,26.0,SoCon,,45,"[17, 28]",False,1660.0,1437.0,0.9,11,Mackey Arena,West Lafayette,IN
